,College,MLB,NBA,NFL,Total,Rank,conference_College
0,University of Michigan,5.0,9.0,4.0,18.0,1.0,Big Ten
1,University of California-Los Angeles,6.0,2.0,12.0,20.0,2.0,Pac-12
2,University of Notre Dame,17.0,7.0,1.0,25.0,3.0,Independent
3,University of Southern California,2.0,22.0,2.0,26.0,4.0,Pac-12
4,Louisiana State University,8.0,19.0,7.0,34.0,5.0,SEC
5,Ohio State University,28.0,16.0,3.0,47.0,6.0,Big Ten
6,University of North Carolina at Chapel Hill,13.0,3.0,35.0,51.0,7.0,ACC
7,University of Illinois,15.0,19.0,24.0,58.0,8.0,Big Ten
8,University of Texas,1.0,41.0,17.0,59.0,9.0,Big 12
9,Florida State University,10.0,33.0,21.0,64.0,10.0,ACC
10,University of Florida,15.0,39.0,13.0,67.0,11.0,SEC
11,University of Arizona,7.0,10.0,51.0,68.0,12.0,Pac-12
12,Stanford University,4.0,36.0,28.0,68.0,12.0,Pac-12
13,University of Alabama,11.0,47.0,10.0,68.0,12.0,SEC
14,University of Tennessee,33.0,27.0,11.0,71.0,15.0,SEC
15,University of California-Berkeley,13.0,33.0,27.0,73.0,16.0,Pac-12
16,Michigan State University,50.0,11.0,15.0,76.0,17.0,Big Ten
17,Arizona State University,3.0,52.0,26.0,81.0,18.0,Pac-12
18,University of Oklahoma,11.0,70.0,8.0,89.0,19.0,Big 12
19,University of Minnesota,55.0,11.0,29.0,95.0,20.0,Big Ten
20,University of Arkansas,26.0,41.0,30.0,97.0,21.0,SEC
21,North Carolina State University,41.0,16.0,55.0,112.0,22.0,ACC
22,University of Kentucky,59.0,1.0,52.0,112.0,22.0,SEC
23,Auburn University,26.0,66.0,23.0,115.0,24.0,SEC
24,Indiana University,71.0,6.0,40.0,117.0,25.0,Big Ten
25,University of Miami,17.0,96.0,9.0,122.0,26.0,
26,Duke University,45.0,4.0,76.0,125.0,27.0,ACC
27,Texas A&M University,22.0,84.0,19.0,125.0,27.0,SEC
28,Clemson University,22.0,70.0,34.0,126.0,29.0,ACC
29,Oklahoma State University,17.0,63.0,47.0,127.0,30.0,Big 12
30,Syracuse University,86.0,14.0,31.0,131.0,31.0,ACC
31,University of South Carolina,25.0,58.0,50.0,133.0,32.0,SEC
32,University of Georgia,39.0,78.0,18.0,135.0,33.0,SEC
33,University of Maryland,79.0,21.0,38.0,138.0,34.0,Big Ten
34,University of Missouri,50.0,50.0,42.0,142.0,35.0,SEC
35,University of Wisconsin at Madison,75.0,52.0,16.0,143.0,36.0,Big Ten
36,University of Iowa,79.0,39.0,25.0,143.0,36.0,Big Ten
37,University of Washington,93.0,30.0,20.0,143.0,36.0,Pac-12
38,Villanova University,45.0,14.0,85.0,144.0,39.0,CAA
39,University of Virginia,50.0,51.0,43.0,144.0,39.0,ACC
40,University of Kansas,86.0,5.0,57.0,148.0,41.0,Big 12
41,Oregon State University,63.0,41.0,47.0,151.0,42.0,Pac-12
42,Baylor University,36.0,78.0,39.0,153.0,43.0,Big 12
43,Boston College,75.0,52.0,35.0,162.0,44.0,ACC
44,Wake Forest University,54.0,41.0,68.0,163.0,45.0,ACC
45,University of Nebraska,41.0,120.0,6.0,167.0,46.0,Big Ten
46,Purdue University,122.0,24.0,22.0,168.0,47.0,Big Ten
47,University of Houston,71.0,47.0,60.0,178.0,48.0,American
48,Mississippi State University,28.0,96.0,55.0,179.0,49.0,SEC
49,Washington State University,50.0,88.0,45.0,183.0,50.0,Pac-12
50,University of Oregon,111.0,41.0,32.0,184.0,51.0,Pac-12
51,Pennsylvania State University,71.0,109.0,5.0,185.0,52.0,Big Ten
52,Georgetown University,55.0,18.0,113.0,186.0,53.0,Patriot
53,Vanderbilt University,71.0,56.0,79.0,206.0,54.0,SEC
54,Brigham Young University,83.0,66.0,58.0,207.0,55.0,Independent
55,West Virginia University,79.0,88.0,41.0,208.0,56.0,Big 12
56,Northwestern University,83.0,84.0,45.0,212.0,57.0,Big Ten
57,College of the Holy Cross,9.0,114.0,93.0,216.0,58.0,Patriot
58,Texas Christian University,41.0,129.0,49.0,219.0,59.0,Big 12
59,University of Nevada-Las Vegas,93.0,36.0,95.0,224.0,60.0,Mountain West
60,University of Mississippi,35.0,159.0,37.0,231.0,61.0,SEC
61,Iowa State University,98.0,52.0,81.0,231.0,61.0,Big 12
62,University of Memphis,130.0,27.0,77.0,234.0,63.0,American
63,Tulane University,63.0,99.0,77.0,239.0,64.0,American
64,University of Cincinnati,143.0,30.0,67.0,240.0,65.0,American
65,Rice University,49.0,109.0,83.0,241.0,66.0,C-USA
66,Texas Tech University,62.0,114.0,65.0,241.0,66.0,Big 12
67,University of Pittsburgh,159.0,70.0,14.0,243.0,68.0,ACC
68,Santa Clara University,24.0,99.0,132.0,255.0,69.0,
69,Wichita State University,39.0,75.0,145.0,259.0,70.0,
70,Fordham University,36.0,120.0,108.0,264.0,71.0,Patriot
71,San Diego State University,31.0,179.0,54.0,264.0,71.0,Mountain West
72,Rutgers University,93.0,104.0,80.0,277.0,73.0,Big Ten
73,University of Connecticut,143.0,24.0,120.0,287.0,74.0,American
74,University of Pennsylvania,45.0,129.0,113.0,287.0,74.0,Ivy
75,University of Utah,192.0,36.0,59.0,287.0,74.0,Pac-12
76,Temple University,192.0,30.0,75.0,297.0,77.0,American
77,University of Nevada,104.0,109.0,109.0,322.0,78.0,Mountain West
78,San Jose State University,98.0,159.0,71.0,328.0,79.0,Mountain West
79,Southern Illinois University,70.0,129.0,132.0,331.0,80.0,Missouri Valley
80,Bowling Green State University,130.0,88.0,113.0,331.0,80.0,MAC
81,Kansas State University,231.0,56.0,52.0,339.0,82.0,Big 12
82,Louisiana Tech University,111.0,144.0,86.0,341.0,83.0,C-USA
83,Ohio University,93.0,120.0,132.0,345.0,84.0,MAC
84,California State University-Fullerton,20.0,129.0,202.0,351.0,85.0,
85,Princeton University,63.0,129.0,160.0,352.0,86.0,Ivy
86,Grambling State University,172.0,109.0,71.0,352.0,86.0,SWAC
87,Western Michigan University,75.0,159.0,120.0,354.0,88.0,MAC
88,Dartmouth College,63.0,159.0,141.0,363.0,89.0,Ivy
89,Eastern Michigan University,111.0,120.0,136.0,367.0,90.0,MAC
90,Tennessee State University,231.0,78.0,70.0,379.0,91.0,Ohio Valley
91,University of Toledo,172.0,114.0,95.0,381.0,92.0,MAC
92,University of Southern Mississippi,111.0,199.0,73.0,383.0,93.0,C-USA
93,New York University,159.0,66.0,160.0,385.0,94.0,
94,University of Louisiana at Lafayette,143.0,129.0,120.0,392.0,95.0,Sun Belt
95,University of Wyoming,253.0,58.0,88.0,399.0,96.0,Mountain West
96,University of Louisville,329.0,8.0,64.0,401.0,97.0,ACC
97,University of New Mexico,231.0,75.0,100.0,406.0,98.0,Mountain West
98,University of San Francisco,130.0,58.0,218.0,406.0,98.0,
99,Brown University,38.0,249.0,124.0,411.0,100.0,Ivy
100,Western Kentucky University,208.0,35.0,172.0,415.0,101.0,C-USA
101,Georgia Institute of Technology,21.0,27.0,369.0,417.0,102.0,
102,Central Michigan University,130.0,139.0,148.0,417.0,103.0,MAC
103,Gonzaga University,111.0,99.0,211.0,421.0,104.0,
104,Jackson State University,231.0,109.0,82.0,422.0,105.0,SWAC
105,University of Tulsa,283.0,88.0,61.0,432.0,106.0,American
106,Southern Methodist University,283.0,88.0,61.0,432.0,106.0,American
107,Kent State University,86.0,222.0,126.0,434.0,108.0,MAC
108,Duquesne University,253.0,63.0,119.0,435.0,109.0,Northeast
109,Loyola Marymount University,55.0,144.0,242.0,441.0,110.0,
110,Colgate University,159.0,199.0,94.0,452.0,111.0,Patriot
111,East Carolina University,122.0,249.0,88.0,459.0,112.0,American
112,Marshall University,253.0,104.0,102.0,459.0,112.0,C-USA
113,Southern University and A&M College,192.0,179.0,95.0,466.0,114.0,SWAC
114,University of Colorado,377.0,58.0,32.0,467.0,115.0,Pac-12
115,Yale University,63.0,222.0,184.0,469.0,116.0,Ivy
116,University of Richmond,122.0,222.0,127.0,471.0,117.0,CAA
117,California State University-Long Beach,28.0,78.0,369.0,475.0,118.0,
118,Bradley University,130.0,75.0,270.0,475.0,119.0,
119,University of South Florida,143.0,179.0,155.0,477.0,120.0,American
120,California State University-Fresno,31.0,88.0,369.0,488.0,121.0,
121,Eastern Kentucky University,192.0,144.0,155.0,491.0,122.0,Ohio Valley
122,Indiana State University,93.0,120.0,281.0,494.0,123.0,Missouri Valley
123,Columbia University,172.0,179.0,152.0,503.0,124.0,Ivy
124,St. Mary's College of California,33.0,369.0,109.0,511.0,125.0,
125,Illinois State University,159.0,179.0,177.0,515.0,126.0,Missouri Valley
126,Creighton University,111.0,88.0,322.0,521.0,127.0,
127,St. John's University,111.0,11.0,402.0,524.0,128.0,
128,Pepperdine University,45.0,78.0,402.0,525.0,129.0,
129,McNeese State University,208.0,159.0,172.0,539.0,130.0,Southland
130,Miami University of Ohio,86.0,369.0,88.0,543.0,131.0,MAC
131,University of Louisiana at Monroe,231.0,179.0,135.0,545.0,132.0,Sun Belt
132,University of Central Florida,283.0,159.0,106.0,548.0,133.0,American
133,College of William & Mary,192.0,249.0,107.0,548.0,133.0,CAA
134,Harvard University,208.0,199.0,145.0,552.0,135.0,Ivy
135,Lamar University,172.0,199.0,188.0,559.0,136.0,Southland
136,University of Detroit Mercy,377.0,70.0,117.0,564.0,137.0,
137,Cornell University,208.0,222.0,141.0,571.0,138.0,Ivy
138,Georgia Southern University,130.0,222.0,222.0,574.0,139.0,Sun Belt
139,St. Bonaventure University,231.0,84.0,261.0,576.0,140.0,
140,Manhattan College,60.0,120.0,402.0,582.0,141.0,
141,Virginia Polytechnic Institute and State University,122.0,99.0,369.0,590.0,142.0,
142,Missouri State University,122.0,199.0,270.0,591.0,143.0,Missouri Valley
143,University of Hawaii at Manoa,143.0,369.0,87.0,599.0,144.0,
144,Western Carolina University,208.0,144.0,253.0,605.0,145.0,Southern
145,University of California-Santa Barbara,83.0,179.0,346.0,608.0,146.0,
146,University of Massachusetts Amherst,98.0,144.0,369.0,611.0,147.0,
147,Sam Houston State University,172.0,249.0,202.0,623.0,148.0,Southland
148,Northern Illinois University,377.0,144.0,104.0,625.0,149.0,MAC
149,Oral Roberts University,98.0,159.0,369.0,626.0,150.0,
150,Ball State University,253.0,222.0,152.0,627.0,151.0,MAC
151,West Texas A&M University,369.0,144.0,120.0,633.0,152.0,
152,Lehigh University,159.0,313.0,165.0,637.0,153.0,Patriot
153,James Madison University,159.0,249.0,231.0,639.0,154.0,CAA
154,Middle Tennessee State University,208.0,249.0,182.0,639.0,154.0,C-USA
155,Alcorn State University,369.0,159.0,113.0,641.0,156.0,SWAC
156,Virginia Commonwealth University,159.0,120.0,369.0,648.0,157.0,
157,Eastern Illinois University,208.0,249.0,194.0,651.0,158.0,Ohio Valley
158,University of Montana,369.0,179.0,109.0,657.0,159.0,Big Sky
159,Niagara University,172.0,114.0,371.0,657.0,160.0,
160,Colorado State University,456.0,129.0,74.0,659.0,161.0,Mountain West
161,Texas State University,253.0,249.0,160.0,662.0,162.0,Sun Belt
162,University of Dayton,456.0,66.0,141.0,663.0,163.0,Pioneer
163,Texas Southern University,369.0,199.0,101.0,669.0,164.0,SWAC
164,University of Idaho,329.0,249.0,91.0,669.0,165.0,Sun Belt
165,University of the Pacific,172.0,139.0,369.0,680.0,166.0,
166,Lafayette College,143.0,369.0,177.0,689.0,167.0,Patriot
167,University of New Orleans,143.0,179.0,369.0,691.0,168.0,
168,Morehead State University,192.0,179.0,322.0,693.0,169.0,Pioneer
169,Northeastern University,283.0,179.0,231.0,693.0,169.0,
170,Furman University,283.0,222.0,194.0,699.0,171.0,Southern
171,Saint Louis University,377.0,96.0,231.0,704.0,172.0,
172,Davidson College,143.0,159.0,402.0,704.0,172.0,Pioneer
173,Idaho State University,369.0,159.0,177.0,705.0,174.0,Big Sky
174,University of Tennessee at Chattanooga,369.0,222.0,127.0,718.0,175.0,Southern
175,Troy University,231.0,369.0,129.0,729.0,176.0,Sun Belt
176,University of Delaware,172.0,369.0,188.0,729.0,176.0,CAA
177,University of Texas at Arlington,172.0,369.0,194.0,735.0,178.0,
178,University of Akron,377.0,199.0,160.0,736.0,179.0,MAC
179,Seton Hall University,60.0,47.0,630.0,737.0,180.0,
180,California Polytechnic State University-Pomona,208.0,249.0,281.0,738.0,181.0,
181,Oklahoma City University,253.0,144.0,346.0,743.0,182.0,
182,University of Texas at El Paso,555.0,104.0,84.0,743.0,182.0,C-USA
183,Virginia Union University,369.0,144.0,231.0,744.0,184.0,
184,Xavier University,456.0,78.0,211.0,745.0,185.0,
185,Washington & Jefferson College,377.0,222.0,148.0,747.0,186.0,
186,Florida International University,130.0,313.0,304.0,747.0,186.0,C-USA
187,Boston University,456.0,159.0,136.0,751.0,188.0,
188,University of Chicago,172.0,369.0,211.0,752.0,189.0,
189,Utah State University,555.0,129.0,69.0,753.0,190.0,Mountain West
190,St. Thomas University,253.0,313.0,188.0,754.0,191.0,
191,University of San Diego,122.0,313.0,322.0,757.0,192.0,Pioneer
192,Austin Peay State University,253.0,159.0,346.0,758.0,193.0,Ohio Valley
193,University of Denver,329.0,159.0,270.0,758.0,193.0,
194,University of Rhode Island,456.0,84.0,218.0,758.0,193.0,CAA
195,California State University-Los Angeles,192.0,199.0,369.0,760.0,196.0,
196,Delta State University,192.0,222.0,346.0,760.0,197.0,
197,Grand Canyon University,143.0,249.0,369.0,761.0,198.0,
198,Portland State University,283.0,313.0,165.0,761.0,199.0,Big Sky
199,Elon University,172.0,313.0,281.0,766.0,200.0,CAA
200,Bucknell University,86.0,313.0,369.0,768.0,201.0,Patriot
201,Old Dominion University,172.0,129.0,476.0,777.0,202.0,C-USA
202,Hampton University,369.0,249.0,160.0,778.0,203.0,MEAC
203,Sacramento City College,41.0,369.0,369.0,779.0,204.0,
204,Blinn College,98.0,313.0,369.0,780.0,205.0,
205,Georgia Tech University,369.0,369.0,43.0,781.0,206.0,ACC
206,Kentucky State University,369.0,159.0,253.0,781.0,207.0,
207,University of California-Irvine,253.0,159.0,369.0,781.0,207.0,
208,North Carolina Central University,369.0,249.0,169.0,787.0,209.0,MEAC
209,University of California-Riverside,104.0,313.0,371.0,788.0,210.0,
210,New Mexico State University,555.0,104.0,131.0,790.0,211.0,Sun Belt
211,Cerritos College,55.0,369.0,369.0,793.0,212.0,
212,Providence College,283.0,41.0,476.0,800.0,213.0,
213,Southeast Missouri State University,329.0,249.0,222.0,800.0,213.0,Ohio Valley
214,Virginia Tech University,369.0,369.0,63.0,801.0,215.0,ACC
215,Long Island University,369.0,63.0,369.0,801.0,215.0,
216,Miami-Dade College-North Campus,63.0,369.0,369.0,801.0,215.0,
217,State College of Florida-Manatee Sarasota,63.0,369.0,369.0,801.0,215.0,
218,Murray State University,456.0,114.0,231.0,801.0,219.0,Ohio Valley
219,Eastern Washington University,369.0,249.0,184.0,802.0,220.0,Big Sky
220,California State University-Northridge,143.0,313.0,346.0,802.0,221.0,
221,Arkansas State University,456.0,222.0,124.0,802.0,221.0,
222,Fresno State University,369.0,369.0,65.0,803.0,223.0,Mountain West
223,California Polytechnic State University-San Luis Obispo,122.0,313.0,369.0,804.0,224.0,
224,Montana State University,369.0,249.0,188.0,806.0,225.0,Big Sky
225,Saint Joseph's University,369.0,70.0,369.0,808.0,226.0,
226,Washington and Lee University,159.0,369.0,281.0,809.0,227.0,
227,Indian Hills Community College,192.0,249.0,369.0,810.0,228.0,
228,University of Maine,369.0,249.0,194.0,812.0,229.0,CAA
229,Miami-Dade College-Kendall Campus,75.0,369.0,369.0,813.0,230.0,
230,Boise State University,555.0,159.0,99.0,813.0,231.0,Mountain West
231,University of Northern Colorado,231.0,313.0,270.0,814.0,232.0,Big Sky
232,Morgan State University,369.0,313.0,136.0,818.0,233.0,MEAC
233,College of Charleston,231.0,222.0,369.0,822.0,234.0,
234,Seminole State College,86.0,369.0,369.0,824.0,235.0,
235,Stetson University,208.0,249.0,369.0,826.0,236.0,Pioneer
236,Mesa Community College,86.0,369.0,371.0,826.0,236.0,
237,Florida A&M University,369.0,369.0,91.0,829.0,238.0,MEAC
238,Liberty University,377.0,222.0,231.0,830.0,239.0,Big South
239,Illinois Wesleyan University,172.0,313.0,346.0,831.0,240.0,
240,Centenary College of Louisiana,329.0,199.0,304.0,832.0,241.0,
241,Tufts University,143.0,369.0,322.0,834.0,242.0,
242,Fresno City College,98.0,369.0,369.0,836.0,243.0,
243,Nicholls State University,377.0,249.0,211.0,837.0,244.0,Southland
244,University of Portland,253.0,139.0,449.0,841.0,245.0,
245,Indian River Community College,104.0,369.0,369.0,842.0,246.0,
246,Santa Ana College,104.0,369.0,369.0,842.0,246.0,
247,San Jacinto College-North Campus,104.0,369.0,369.0,842.0,246.0,
248,Riverside Community College,104.0,369.0,369.0,842.0,246.0,
249,Los Angeles Pierce College,104.0,369.0,369.0,842.0,246.0,
250,Florida Atlantic University,231.0,369.0,242.0,842.0,251.0,C-USA
251,The Citadel,253.0,369.0,222.0,844.0,252.0,Southern
252,Orange Coast College,111.0,369.0,369.0,849.0,253.0,
253,Fullerton College,111.0,369.0,369.0,849.0,253.0,
254,University of Maine at Orono,111.0,369.0,369.0,849.0,253.0,
255,Middle Georgia College,111.0,369.0,369.0,849.0,253.0,
256,East Tennessee State University,377.0,222.0,253.0,852.0,257.0,Southern
257,Southeastern Louisiana University,253.0,369.0,231.0,853.0,258.0,Southland
258,Catawba College,231.0,369.0,253.0,853.0,258.0,
259,Western Illinois University,377.0,313.0,165.0,855.0,260.0,Missouri Valley
260,Marquette University,732.0,22.0,102.0,856.0,261.0,
261,Mississippi Valley State University,369.0,313.0,177.0,859.0,262.0,SWAC
262,Chipola College,122.0,369.0,369.0,860.0,263.0,
263,Prairie View A&M University,456.0,249.0,155.0,860.0,264.0,SWAC
264,Jacksonville University,208.0,120.0,534.0,862.0,265.0,Pioneer
265,Jacksonville State University,329.0,313.0,222.0,864.0,266.0,Ohio Valley
266,University of Arkansas at Pine Bluff,369.0,313.0,184.0,866.0,267.0,SWAC
267,Weber State University,369.0,129.0,369.0,867.0,268.0,Big Sky
268,Gulf Coast Community College,130.0,369.0,369.0,868.0,269.0,
269,Chabot College,130.0,369.0,369.0,868.0,269.0,
270,Dallas Baptist University,130.0,369.0,369.0,868.0,269.0,
271,University of North Dakota,369.0,313.0,188.0,870.0,272.0,Big Sky
272,Hill College,192.0,313.0,369.0,874.0,273.0,
273,Youngstown State University,377.0,313.0,184.0,874.0,274.0,Missouri Valley
274,Alabama State University,369.0,313.0,194.0,876.0,275.0,SWAC
275,Miami University,369.0,139.0,369.0,877.0,276.0,ACC
276,Saint Mary's College of California,369.0,139.0,369.0,877.0,276.0,
277,Bethune-Cookman,369.0,369.0,139.0,877.0,276.0,
278,Virginia Military Institute,369.0,249.0,261.0,879.0,279.0,Southern
279,Cypress College,143.0,369.0,369.0,881.0,280.0,
280,Lewis-Clark State College,143.0,369.0,369.0,881.0,280.0,
281,Paris Junior College,143.0,369.0,369.0,881.0,280.0,
282,Louisburg College,143.0,369.0,369.0,881.0,280.0,
283,Midland College,369.0,144.0,369.0,882.0,284.0,
284,University of Hawaii,369.0,144.0,369.0,882.0,284.0,Mountain West
285,South Carolina State University,555.0,222.0,105.0,882.0,286.0,MEAC
286,Bucknell,369.0,369.0,145.0,883.0,287.0,
287,Tuskegee University,377.0,249.0,261.0,887.0,288.0,
288,University of South Alabama,79.0,179.0,630.0,888.0,289.0,Sun Belt
289,University of Massachusetts,369.0,369.0,151.0,889.0,290.0,MAC
290,West Chester University of Pennsylvania,253.0,369.0,270.0,892.0,291.0,
291,University of New Hampshire,329.0,369.0,194.0,892.0,291.0,CAA
292,University of North Alabama,329.0,369.0,194.0,892.0,291.0,
293,Williams College,208.0,313.0,371.0,892.0,294.0,
294,Abilene Christian University,369.0,369.0,155.0,893.0,295.0,Southland
295,St. Louis Community College-Forest Park Campus,159.0,369.0,369.0,897.0,296.0,
296,City College of New York,369.0,159.0,369.0,897.0,296.0,
297,Citrus College,159.0,369.0,369.0,897.0,296.0,
298,Los Angeles Harbor College,159.0,369.0,369.0,897.0,296.0,
299,Los Angeles Valley College,159.0,369.0,369.0,897.0,296.0,
300,Florida Southern College,159.0,369.0,369.0,897.0,296.0,
301,Lincoln University of Missouri,369.0,249.0,281.0,899.0,302.0,
302,University of Northern Iowa,377.0,369.0,155.0,901.0,303.0,Missouri Valley
303,Rider University,283.0,249.0,369.0,901.0,303.0,
304,Long Beach State University,369.0,369.0,165.0,903.0,305.0,
305,University of Tampa,329.0,313.0,261.0,903.0,306.0,
306,Alabama A&M University,369.0,313.0,222.0,904.0,307.0,SWAC
307,University of Texas-Pan American,377.0,159.0,369.0,905.0,308.0,
308,California Polytechnic State University,369.0,369.0,169.0,907.0,309.0,Big Sky
309,Howard University,456.0,249.0,202.0,907.0,310.0,MEAC
310,Appalachian State University,456.0,313.0,139.0,908.0,311.0,Sun Belt
311,Golden West College,172.0,369.0,369.0,910.0,312.0,
312,Spartanburg Methodist College,172.0,369.0,369.0,910.0,312.0,
313,Merced College,172.0,369.0,369.0,910.0,312.0,
314,Rollins College,172.0,369.0,369.0,910.0,312.0,
315,University of La Verne,172.0,369.0,369.0,910.0,312.0,
316,Central Arizona College,172.0,369.0,369.0,910.0,312.0,
317,West Virginia Wesleyan College,377.0,313.0,222.0,912.0,318.0,
318,Albany State University,369.0,179.0,369.0,917.0,319.0,
319,North Carolina Agricultural and Technical State University,369.0,179.0,369.0,917.0,319.0,
320,Mount San Antonio College,130.0,313.0,476.0,919.0,321.0,
321,Md-Eastern Shore,369.0,369.0,182.0,920.0,322.0,
322,Truman State University,377.0,222.0,322.0,921.0,323.0,
323,California University of Pennslyvania,369.0,313.0,242.0,924.0,324.0,
324,Butler University,377.0,179.0,369.0,925.0,325.0,Pioneer
325,Navy,369.0,369.0,188.0,926.0,326.0,American
326,Yavapai College,192.0,369.0,369.0,930.0,327.0,
327,Miami-Dade College-Wolfson Campus,192.0,369.0,369.0,930.0,327.0,
328,University of New Haven,192.0,369.0,369.0,930.0,327.0,
329,Valdosta State University,369.0,313.0,249.0,931.0,330.0,
330,Millikin University,283.0,369.0,281.0,933.0,331.0,
331,Washington University in St. Louis,283.0,369.0,281.0,933.0,331.0,
332,Lewis University,253.0,313.0,369.0,935.0,333.0,
333,Fort Valley State University,369.0,313.0,253.0,935.0,333.0,
334,University of Alabama at Birmingham,555.0,159.0,222.0,936.0,335.0,
335,Hofstra University,555.0,179.0,202.0,936.0,335.0,
336,Saint Peter's College,369.0,199.0,369.0,937.0,337.0,
337,University of Wisconsin at Green Bay,369.0,199.0,369.0,937.0,337.0,
338,Saint Francis University,369.0,199.0,369.0,937.0,337.0,Northeast
339,South Plains College,369.0,199.0,369.0,937.0,337.0,
340,University of Maryland Eastern Shore,369.0,199.0,369.0,937.0,337.0,
341,Army,369.0,369.0,202.0,940.0,342.0,Independent
342,University of South Dakota,369.0,369.0,202.0,940.0,342.0,Missouri Valley
343,Central State (OH),369.0,369.0,202.0,940.0,342.0,
344,Catholic University of America,377.0,313.0,253.0,943.0,345.0,
345,Florida Agricultural and Mechanical University,377.0,199.0,369.0,945.0,346.0,
346,Cleveland State University,377.0,199.0,369.0,945.0,346.0,
347,American River College,208.0,369.0,369.0,946.0,348.0,
348,San Jose City College,208.0,369.0,369.0,946.0,348.0,
349,College of San Mateo,208.0,369.0,369.0,946.0,348.0,
350,Palm Beach Community College,208.0,369.0,369.0,946.0,348.0,
351,Oxnard College,208.0,369.0,369.0,946.0,348.0,
